Cell line	Disease	Disease subtype	Cellosaurus ID	Patient	Primary/Metastasis	Sample collection site
HCC364	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_5134	Male, 76		lung
HCC366	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma	CVCL_2059	Female, 80	primary	lung
HCC38	Breast cancer	Breast Ductal Carcinoma	CVCL_1267	Female, 50	primary	breast
HCC4006	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1269	Male	metastasis	pleural effusion
HCC4011	Lung cancer		CVCL_S700			
HCC4017	Lung cancer		CVCL_V579			
HCC44	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_2060	Female, 54	primary	lung
HCC461	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_5135	Male, 69		lung
HCC515	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_5136	Female, 39		lung
HCC630	Ovarian cancer		CVCL_V729			
HCC70	Breast cancer	Breast Ductal Carcinoma	CVCL_1270	Female, 49	primary	breast
HCC78	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_2061	Male, 65	metastasis	pleural effusion
HCC827	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_2063	Female, 39	primary	lung
HCC827 GR5	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_V622	Female, 39	primary	lung
HCC89	Kidney cancer	Rel Cell Carcinoma	CVCL_V731			
HCC95	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_5137	Male, 65	metastasis	pleural effusion
HCT 116	Colorectal cancer	Adenocarcinoma	CVCL_0291	Male, 48	primary	large intestine
HCT 15	Colorectal cancer	Adenocarcinoma	CVCL_0292	Male, 67	primary	large intestine
HD-MY-Z	Uncategorized	Acute Myeloid Leukemia	CVCL_1273	Male, 29		pleural effusion
HDLM-2	Lymphoma		CVCL_0009	Male, 74		pleural effusion
HDQ-P1	Breast cancer	Breast Ductal Carcinoma	CVCL_2067	Female, 50	primary	breast
HEC-1-A	Uterine cancer	Endometrial Adenocarcinoma	CVCL_0293	Female, 71	primary	endometrium
HEC-1-B	Uterine cancer	Endometrial Adenocarcinoma	CVCL_0294	Female, 71	primary	endometrium
HEC-108	Uterine cancer	Endometrial Adenocarcinoma	CVCL_2923	Female	primary	endometrium
HEC-151	Uterine cancer	Endometrial Adenocarcinoma	CVCL_2925	Female	primary	endometrium
HEC-251	Uterine cancer	Endometrial Adenocarcinoma	CVCL_2927	Female, 53	primary	endometrium
HEC-265	Uterine cancer	Endometrial Adenocarcinoma	CVCL_2928	Female, 59	primary	endometrium
HEC-50B	Uterine cancer	Endometrial Adenocarcinoma	CVCL_2929	Female	metastasis	ascites
HEC-59	Uterine cancer	Endometrial Adenocarcinoma	CVCL_2930	Female	primary	endometrium
HEC-6	Uterine cancer	Endometrial Adenocarcinoma	CVCL_2931	Female, 48	primary	endometrium
HEK TE	Non-cancerous		CVCL_WS59	Female		kidney
HEK293	Non-cancerous		CVCL_0045	Female		
HEL	Leukemia		CVCL_0001	Male, 30		haematopoietic and lymphoid tissue
HEL 92.1.7	Leukemia	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	CVCL_2481	Male, 30		bone marrow
HeLa	Cervical cancer		CVCL_0030	Female, 31		cervix
Hep 3B2.1-7	Liver cancer	Hepatocellular Carcinoma	CVCL_0326	Male, 8	primary	liver
Hep-G2	Liver cancer		CVCL_0027	Male, 15	primary	liver
HEY	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_0297			ovary
HEY A8	Ovarian cancer	Adenocarcinoma, low grade serous	CVCL_8878	Female	metastasis	ascites
HGC-27	Gastric cancer	Adenocarcinoma	CVCL_1279		metastasis	lymph node
HH [Human lymphoma]	Lymphoma	T-cell, Non-Hodgkins, Cutaneous	CVCL_1280	Male, 61		haematopoietic and lymphoid tissue
HHSteC	Uncategorized					
HL-60	Leukemia		CVCL_0002	Female, 35	primary	haematopoietic and lymphoid tissue
HLF	Liver cancer	Hepatocellular Carcinoma	CVCL_2947	Male, 68	primary	liver
HLF-a	Non-cancerous	Lung	CVCL_2255	Female, 54	primary	fibroblast
HMC-1	Leukemia		CVCL_0003	Male, 52		
HMC-1-8	Breast cancer	Carcinoma	CVCL_2949	Female, 35	metastasis	pleural effusion
HMCB	Skin cancer	Melanoma	CVCL_3317	Female, 57	primary	skin
HMEL	Non-cancerous		CVCL_IZ34	Female		breast
HMY-1	Skin cancer	Melanoma	CVCL_2950	62	Metastasis	lymph_node
HN	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_1283	60	Metastasis	lymph_node
HNT-34	Leukemia	Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)	CVCL_2071	Female, 47		haematopoietic and lymphoid tissue
HOP-62	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1285	Female, 60	primary	lung
HOP-92	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_1286	Male, 62	primary	lung
HOS	Bone cancer	Osteosarcoma	CVCL_0312	Female, 13	primary	bone
HPAC	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_3517	Female, 64	primary	pancreas
HPAF-II	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_0313	Male, 44	metastasis	ascites
HPB-ALL	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1820	Male, 14	primary	haematopoietic and lymphoid tissue
Hs 172.T	Non-cancerous	Bladder	CVCL_0660	Male, 50		fibroblast
Hs 229.T	Non-cancerous	Lung	CVCL_0698	Male, 65	primary	fibroblast
Hs 255.T	Non-cancerous	Colorectal	CVCL_0707	Female, 46		fibroblast
Hs 274.T	Non-cancerous	Breast	CVCL_0711	Female, 66		fibroblast
Hs 281.T	Non-cancerous	Breast	CVCL_0715	Female, 37		fibroblast
Hs 294T	Skin cancer	Melanoma	CVCL_0331	Male, 56	metastasis	lymph node
Hs 343.T	Non-cancerous	Breast	CVCL_0726	Female, 47		fibroblast
Hs 38.T	Ovarian cancer		CVCL_0735			
Hs 578T	Breast cancer	Carcinoma	CVCL_0332	Female, 74	primary	breast
Hs 600.T	Non-cancerous	Skin	CVCL_0814	Male	primary	fibroblast
Hs 606.T	Non-cancerous	Breast	CVCL_0819	Female, 44		fibroblast
Hs 611.T	Lymphoma	B-cell, Hodgkins	CVCL_0823	Female, 48		haematopoietic and lymphoid tissue
Hs 616.T	Non-cancerous	Lymphoma	CVCL_0825	Male, 16		fibroblast
Hs 618.T	Non-cancerous	Lung	CVCL_0827	Female, 60	primary	fibroblast
Hs 675.T	Non-cancerous	Colorectal	CVCL_0836	Male		fibroblast
Hs 683	Brain cancer	Oligodendroglioma	CVCL_0844	Male, 76	primary	central nervous system
Hs 688(A).T	Non-cancerous	Skin	CVCL_0846	Male, 69	primary	fibroblast
Hs 695T	Skin cancer	Melanoma, amelanotic	CVCL_0851	Male, 26	metastasis	lymph node
Hs 698.T	Non-cancerous	Colorectal	CVCL_0855	Male, 70	metastasis	soft tissue
Hs 706.T	Non-cancerous	Bone	CVCL_0863	Female, 16		fibroblast
Hs 729.T	Uncategorized	Soft tissue	CVCL_0871	Male, 74	primary	
Hs 737.T	Non-cancerous	Bone	CVCL_0878	Female, 10		fibroblast
Hs 739.T	Non-cancerous	Breast	CVCL_0882	Female, 52		fibroblast
Hs 742.T	Non-cancerous	Breast	CVCL_0888	Female, 71		fibroblast
Hs 746.T	Gastric cancer	Adenocarcinoma	CVCL_0333	Male, 74	metastasis	soft tissue
Hs 751.T	Non-cancerous	Lymphoma	CVCL_0891	Male, 19		fibroblast
Hs 766T	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_0334	Male, 64	metastasis	lymph node
Hs 819.T	Non-cancerous	Bone	CVCL_0928	Male, 60		fibroblast
Hs 821.T	Non-cancerous	Bone	CVCL_0932	Female, 31	primary	fibroblast
Hs 822.T	Non-cancerous	Bone	CVCL_0933	Female, 9	primary	fibroblast
Hs 834.T	Non-cancerous	Skin	CVCL_0938	Female, 27	metastasis	lymph node
Hs 839.T	Non-cancerous	Skin	CVCL_0941	Female, 42		fibroblast
Hs 840.T	Non-cancerous	Upper aerodigestive	CVCL_0942	Male, 7		fibroblast
Hs 852.T	Skin cancer	Melanoma	CVCL_0950	Male, 53		skin
Hs 863.T	Non-cancerous	Bone	CVCL_0959	Female, 5		fibroblast
Hs 870.T	Non-cancerous	Bone	CVCL_0966	Male, 22		fibroblast
Hs 888.T	Non-cancerous	Bone	CVCL_0979	Male, 20		fibroblast
Hs 895.T	Non-cancerous	Skin	CVCL_0993	Female, 48	metastasis	fibroblast
Hs 934.T	Non-cancerous	Skin	CVCL_1031	Female, 58	primary	fibroblast
Hs 936.T	Skin cancer	Melanoma	CVCL_1033	Male		skin
Hs 939.T	Skin cancer	Melanoma	CVCL_1036	Female, 24		skin
Hs 940.T	Non-cancerous	Skin	CVCL_1038	Male, 57	primary	fibroblast
Hs 944.T	Skin cancer	Melanoma	CVCL_1040	Male, 51	metastasis	skin
HSC-2	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_1287	Male, 69	metastasis	upper aerodigestive tract
HSC-3	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_1288	Male, 64	metastasis	upper aerodigestive tract
HSC-4	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_1289	Male, 64	metastasis	upper aerodigestive tract
HSkMC	Uncategorized					
HT	Lymphoma	B-cell, Non-Hodgkins	CVCL_1290	Male, 70		ascites
HT-1080	Sarcoma	Fibrosarcoma	CVCL_0317	Male, 35	metastasis	soft tissue
HT-1197	Bladder cancer	Carcinoma	CVCL_1291	Male, 44	primary	urinary tract
HT-1376	Bladder cancer	Carcinoma	CVCL_1292	Female, 58	primary	urinary tract
HT-144	Skin cancer	Melanoma	CVCL_0318	Male, 29	metastasis	skin
HT-29	Colorectal cancer	Adenocarcinoma	CVCL_0320	Female, 44	primary	large intestine
HT-55	Colorectal cancer	Adenocarcinoma	CVCL_1294		primary	large intestine
HT115	Colorectal cancer	Adenocarcinoma	CVCL_2520			colon
hTCEpi	Non-cancerous		CVCL_AQ44	Male, 62		
hTEC/SVTERT24-B	Non-cancerous		CVCL_JM27	Female		
hTERT-HME1	Non-cancerous		CVCL_3383	Female, 53		
hTERT-RPE1	Non-cancerous		CVCL_4388	Female, 1		
HuCC-T1	Bile duct cancer	Cholangiocarcinoma, intrahepatic	CVCL_0324	Male, 56	metastasis	ascites
HuG1-N	Gastric cancer	Adenocarcinoma, tubular	CVCL_4846	Male, 55	metastasis	stomach
HuH-1	Liver cancer	Hepatocellular Carcinoma, HBs-antigen carrier	CVCL_2956	Male, 53	primary	liver
HuH-28	Bile duct cancer	Cholangiocarcinoma, intrahepatic	CVCL_2955	Female, 37	primary	biliary tract
HuH-6	Liver cancer	Hepatoblastoma	CVCL_4381	Male, 1		liver
Huh-7	Liver cancer	Hepatocellular Carcinoma	CVCL_0336	Male, 57	primary	liver
HuNS1	Myeloma	Multiple Myeloma	CVCL_2526	Male		haematopoietic and lymphoid tissue
HuP-T3	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1299	Male, 66	metastasis	ascites
HuP-T4	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1300	Male, 60	metastasis	ascites
HuT 102	Lymphoma	T-cell	CVCL_3526	Male, 28		lymph node
HuT 78	Lymphoma	T-cell, Non-Hodgkins, Cutaneous	CVCL_0337	Male, 53		haematopoietic and lymphoid tissue
HuTu 80	Gastric cancer	Duodenal Adenocarcinoma	CVCL_1301	Male, 53	primary	small intestine
HUVEC/TERT2	Non-cancerous		CVCL_9Q53	Female		
IA-LM	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1302	Male, 68	metastasis	skin
IGR-1	Skin cancer	Melanoma	CVCL_1303	Male, 42	metastasis	lymph node
IGR-37	Skin cancer	Melanoma	CVCL_2075	Male, 26	metastasis	lymph node
IGR-39	Skin cancer	Melanoma	CVCL_2076	Male, 26	primary	skin
IGROV-1	Ovarian cancer	Adenocarcinoma, mixed	CVCL_1304	Female, 47	primary	ovary
IM95	Gastric cancer	Adenocarcinoma	CVCL_2961	Male, 63	primary	stomach
IMR-32	Neuroblastoma		CVCL_0346	Male, 1	metastasis	abdomen
INA-6	Myeloma	Multiple Myeloma	CVCL_5209	Male, 80		pleural effusion
IOMM-Lee	Brain cancer	Meningioma	CVCL_5779	Male, 61		central nervous system
IPC-298	Skin cancer	Melanoma	CVCL_1307	Female, 64	primary	skin
Ishikawa (Heraklio) 02 ER-	Uterine cancer	Endometrial Adenocarcinoma	CVCL_6543	Female, 39	primary	endometrium
IST-Mes1	Lung cancer	Mesothelioma	CVCL_1311	Female, 70	primary	pleural effusion
IST-Mes2	Lung cancer	Mesothelioma	CVCL_1312	Male, 71		pleural effusion
J82	Bladder cancer	Transitional Cell Carcinoma	CVCL_0359	Male, 58	primary	urinary tract
JeKo-1	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell	CVCL_1865	Female, 78		haematopoietic and lymphoid tissue
JH-EsoAd1	Esophageal cancer	Adenocarcinoma	CVCL_8098	Male, 66		oesophagus
JHH-1	Liver cancer	Hepatocellular Carcinoma	CVCL_2785	Male, 50	primary	liver
JHH-2	Liver cancer	Hepatocellular Carcinoma	CVCL_2786	Male, 57	metastasis	ascites
JHH-4	Liver cancer	Hepatocellular Carcinoma	CVCL_2787	Male, 51	primary	liver
JHH-5	Liver cancer	Hepatocellular Carcinoma	CVCL_0364	Male, 50	primary	liver
JHH-6	Liver cancer	Hepatocellular Carcinoma	CVCL_2788	Female, 57	primary	liver
JHH-7	Liver cancer	Hepatocellular Carcinoma	CVCL_2805	Male, 53	primary	liver
JHOC-5	Ovarian cancer	Adenocarcinoma, clear cell	CVCL_4640	Female, 47	primary	ovary
JHOM-1	Ovarian cancer	Adenocarcinoma, mucinous	CVCL_4644	Female, 88	primary	ovary
JHOM-2B	Ovarian cancer	Adenocarcinoma, mucinous	CVCL_4645	Female, 56	primary	ovary
JHOS-2	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_4647	Female, 45	primary	ovary
JHOS-4	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_4649	Female, 44	primary	ovary
JHUEM-1	Uterine cancer	Endometrial Adenocarcinoma	CVCL_4655	Female, 56	primary	endometrium
JHUEM-2	Uterine cancer	Endometrial Adenocarcinoma	CVCL_4656	Female, 62	primary	endometrium
JHUEM-3	Uterine cancer	Endometrial Adenocarcinoma	CVCL_4657	Female, 60		endometrium
JHUEM-7	Uterine cancer	Endometrial Adenocarcinoma	CVCL_4658	Female, 58	primary	endometrium
JIMT-1	Breast cancer	Breast Ductal Carcinoma	CVCL_2077	Female, 62	metastasis	pleural effusion
Jiyoye	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_1317	7		ascites
JJ012	Bone cancer		CVCL_D605			
JJN-3	Myeloma	Multiple Myeloma	CVCL_2078	Female, 57	primary	bone marrow
JK-1	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_2079	Male, 58		haematopoietic and lymphoid tissue
JL-1	Lung cancer	Mesothelioma	CVCL_2080	Male, 54	primary	pleura
JM-1	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_3532	Male		haematopoietic and lymphoid tissue
JMSU-1	Bladder cancer	Carcinoma	CVCL_2081	Male, 75	metastasis	ascites
JURKAT	Leukemia		CVCL_0065	Male, 14	primary	haematopoietic and lymphoid tissue
Jurkat E6.1	Leukemia		CVCL_0367		Primary	haematopoietic_and_lymphoid_tissue
JURL-MK1	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_2086	Male, 73		haematopoietic and lymphoid tissue
JVM-2	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell	CVCL_1319	Female, 63		haematopoietic and lymphoid tissue
JVM-3	Leukemia	Chronic Lymphoblastic Leukemia (CLL), B-cell	CVCL_1320	Male, 73		haematopoietic and lymphoid tissue
K-562	Leukemia		CVCL_0004	Female, 53	metastasis	pleural effusion
K029AX	Skin cancer	Melanoma	CVCL_8784	Female	primary	skin
KALS-1	Brain cancer	Glioblastoma	CVCL_1323	Female, 74	primary	central nervous system
Karpas-1106P	Lymphoma	B-cell, Non-Hodgkins, Mediastil Large	CVCL_1821	23		pleural_effusion
Karpas-299	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)	CVCL_1324	Male, 25		haematopoietic and lymphoid tissue
Karpas-422	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1325	Female, 73	metastasis	pleural effusion
Karpas-620	Myeloma	Multiple Myeloma	CVCL_1823	Female, 77	primary	haematopoietic and lymphoid tissue
Karpas-707	Myeloma		CVCL_0010	Male, 53		
Kasumi-1	Leukemia	Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)	CVCL_0589	Male, 7	primary	haematopoietic and lymphoid tissue
Kasumi-2	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_0590	Male, 15		bone marrow
Kasumi-6	Leukemia	Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)	CVCL_0614	Male, 64	primary	haematopoietic and lymphoid tissue
KATO III	Gastric cancer	Adenocarcinoma, signet ring cell	CVCL_0371	Male, 57	metastasis	pleural effusion
KCI-MOH1	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_2090	64	Primary	pancreas
KCL-22	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_2091	Female, 32		pleural effusion
KD [Human abdomen rhabdoid tumor]	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_U757	Female, 0		soft tissue
KE-37	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1327	Male, 27		haematopoietic and lymphoid tissue
KE-39	Gastric cancer	Adenocarcinoma	CVCL_3385	Male, 77	metastasis	lymph node
KE-97	Myeloma	Myeloma	CVCL_3386	Male, 52	metastasis	abdomen
Kelly	Neuroblastoma		CVCL_2092	Female, 1	primary	autonomic ganglia
KG-1	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_0374	Male, 59	primary	bone marrow
KG-1-C	Brain cancer	Oligodendroglioma	CVCL_2971	Male, 13	primary	central nervous system
KHM-1B	Myeloma	Multiple Myeloma	CVCL_2972	Male, 53	primary	pleural effusion
Ki-JK	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)	CVCL_2093	Male, 15		pleural effusion
KLE	Uterine cancer	Endometrial Adenocarcinoma	CVCL_1329	Female, 68	primary	endometrium
KLM-1	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_5146		Metastasis	liver
KM-H2	Lymphoma	B-cell, Hodgkins	CVCL_1330	Male, 37	metastasis	pleural effusion
KM12	Colorectal cancer	Adenocarcinoma	CVCL_1331		primary	large intestine
KMBC-2	Bladder cancer	Carcinoma	CVCL_2977	Female	primary	urinary tract
KMM-1	Myeloma	Multiple Myeloma	CVCL_2981	Male, 62	primary	haematopoietic and lymphoid tissue
KMRC-1	Kidney cancer	Renal Carcinoma, clear cell	CVCL_2983	Male	primary	kidney
KMRC-2	Kidney cancer	Renal Carcinoma, clear cell	CVCL_2984	Male	primary	kidney
KMRC-20	Kidney cancer	Renal Cell Carcinoma	CVCL_2986	Female	primary	kidney
KMRC-3	Kidney cancer	Renal Carcinoma, clear cell	CVCL_2985	Male	primary	kidney
KMS-11	Myeloma	Multiple Myeloma	CVCL_2989	Female, 67	primary	pleural effusion
KMS-12-BM	Myeloma	Multiple Myeloma	CVCL_1334	Female, 64	primary	bone marrow
KMS-18	Myeloma	Multiple Myeloma	CVCL_A637	Male, 60	primary	haematopoietic and lymphoid tissue
KMS-20	Myeloma	Multiple Myeloma	CVCL_2990	Female, 65	primary	bone marrow
KMS-21-BM	Myeloma	Multiple Myeloma	CVCL_2991	Male, 62	primary	haematopoietic and lymphoid tissue
KMS-26	Myeloma	Multiple Myeloma	CVCL_2992	Male, 50	primary	pleural effusion
KMS-27	Myeloma	Multiple Myeloma	CVCL_2993	Male, 52	primary	haematopoietic and lymphoid tissue
KMS-28BM	Myeloma	Multiple Myeloma	CVCL_2994	Female, 77	primary	haematopoietic and lymphoid tissue
KMS-34	Myeloma	Multiple Myeloma	CVCL_2996	Female, 60	primary	pleural effusion
KNS-42	Brain cancer	Glioblastoma	CVCL_0378	Male, 16	primary	central nervous system
KNS-60	Brain cancer	Glioblastoma	CVCL_2798	Male, 55	primary	central nervous system
KNS-62	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1335	Male, 49	metastasis	central nervous system
KNS-81	Brain cancer	Glioblastoma	CVCL_2799	Male, 65	primary	central nervous system
KO52	Leukemia	Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)	CVCL_1321	Male, 46		bone marrow
KOPN-8	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_1866	Female, 0	primary	haematopoietic and lymphoid tissue
KP-2	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_3004	Female, 65	primary	pancreas
KP-3	Pancreatic cancer	Ductal Adenosquamous Carcinoma, exocrine	CVCL_3005	Male, 75	metastasis	liver
KP-4	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1338	Male, 50	metastasis	ascites
KP-MRT-RY	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_7051	Male, 0		soft tissue
KP-N-RT-BM-1	Neuroblastoma		CVCL_1339	Female, 1	metastasis	bone marrow
KP-N-SI9s	Neuroblastoma		CVCL_1340	Male, 5	metastasis	autonomic ganglia
KP-N-YN	Neuroblastoma		CVCL_1341	Male, 2	metastasis	lymph node
KPL-1	Breast cancer	Carcinoma	CVCL_2094	Female, 69	metastasis	pleural effusion
KPL-4	Brain cancer	Carcinoma	CVCL_5310		Metastasis	pleural_effusion
KS-1 [Human glioblastoma]	Brain cancer	Astrocytoma	CVCL_1343	Female, 45	primary	central nervous system
KU-19-19	Bladder cancer	Transitional Cell Carcinoma	CVCL_1344	Female, 76		urinary tract
Ku812	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_0379	Male, 38		haematopoietic and lymphoid tissue
Kuramochi	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_1345	Female	metastasis	ascites
KYM-1	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_3007	Male, 0	primary	soft tissue
KYO-1	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_2095	Male, 22		haematopoietic and lymphoid tissue
KYSE-140	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1347	Male, 54	primary	oesophagus
KYSE-150	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1348	Female, 49	primary	oesophagus
KYSE-180	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1349	Male, 53	primary	oesophagus
KYSE-270	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1350	Male, 79	primary	oesophagus
KYSE-30	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1351	Male, 64	primary	oesophagus
KYSE-410	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1352	Male, 51	primary	oesophagus
KYSE-450	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1353	Male, 59	primary	oesophagus
KYSE-510	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1354	Female, 67	primary	oesophagus
KYSE-520	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1355	Female, 58	primary	oesophagus
KYSE-70	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1356	Male, 77	primary	oesophagus
L-1236	Lymphoma	B-cell, Hodgkins	CVCL_2096	Male, 34		haematopoietic and lymphoid tissue
L-363	Myeloma	Multiple Myeloma	CVCL_1357	Female, 36	primary	haematopoietic and lymphoid tissue
L-428	Lymphoma	B-cell, Hodgkins	CVCL_1361	Female, 37		pleural effusion
L-540	Lymphoma	B-cell, Hodgkins	CVCL_1362	Female, 20		bone marrow
L3.3	Pancreatic cancer	Ductal Adenosquamous Carcinoma	CVCL_8147	Female, 77	metastasis	lymph node
LAMA-84	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_0388	Female, 29	primary	haematopoietic and lymphoid tissue
LC-1F	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1372	Male, 69	primary	lung
LCLC-103H	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1375	Male, 61	metastasis	pleural effusion
LCLC-97TM1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1376	Male, 44	primary	lung
LHCN-M2	Non-cancerous		CVCL_8890	Male, 41		
Li-7	Liver cancer		CVCL_3840	Male, 45		liver
LK-2	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1377	Male, 74	primary	lung
LMSU	Gastric cancer	Adenocarcinoma	CVCL_4849	Female, 27	metastasis	lymph node
LN-18	Brain cancer	Glioblastoma	CVCL_0392	Male, 65	primary	central nervous system
LN-215	Brain cancer	Glioblastoma	CVCL_3954	Female, 60		central nervous system
LN-229	Brain cancer	Glioblastoma	CVCL_0393	Female, 60	primary	central nervous system
LN-235	Brain cancer	Astrocytoma	CVCL_3957	Male, 38		central nervous system
LN-308	Brain cancer	Glioblastoma	CVCL_0394	Male, 60		central nervous system
LN-319	Brain cancer	Astrocytoma	CVCL_3958	Male, 67		central nervous system
LN-340	Brain cancer	Glioblastoma	CVCL_3955	Male, 57		central nervous system
LN-382	Brain cancer	Glioblastoma	CVCL_3956	Male, 67		central nervous system
LN-428	Brain cancer	Glioblastoma	CVCL_3959	Male, 48		central nervous system
LN-443	Brain cancer	Glioblastoma	CVCL_3960	Female		central nervous system
LN-464	Brain cancer	Glioblastoma	CVCL_3962	Male, 67		central nervous system
LNCaP	Prostate cancer		CVCL_0395	50	Metastasis	lymph_node
LNCaP clone FGC	Prostate cancer	Adenocarcinoma	CVCL_1379	Male, 50	metastasis	lymph node
LOU-NH91	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_2104	Female, 64	primary	lung
Loucy	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1380	Female, 38		haematopoietic and lymphoid tissue
LoVo	Colorectal cancer	Adenocarcinoma	CVCL_0399	Male, 56	metastasis	lymph node
LOX-IMVI	Skin cancer	Melanoma	CVCL_1381	Male, 58	metastasis	lymph node
LP-1	Myeloma		CVCL_0012	Female, 56	primary	haematopoietic and lymphoid tissue
LS1034	Colorectal cancer	Adenocarcinoma	CVCL_1382	Male, 54	primary	large intestine
LS123	Colorectal cancer	Adenocarcinoma	CVCL_1383	Female, 65	primary	colon
LS180	Colorectal cancer	Adenocarcinoma	CVCL_0397	Female, 58	primary	colon
LS411N	Colorectal cancer	Adenocarcinoma	CVCL_1385	Male, 32	primary	large intestine
LS513	Colorectal cancer	Adenocarcinoma	CVCL_1386	Male, 63	primary	large intestine
Lu-65	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1392	Male, 64	primary	lung
Lu-99	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_3015	Male, 63	metastasis	pleura
